name;type;alignment;ac;armor_type;hit_points;hit_die;speed;str;dex;con;int;wis;cha;save_throws;skills;dam_resist;dam_immune;cond_immune;senses;language;challenge;xp;none;actions;leg_actions;abilities
Bullywug; Medium humanoid (bullywug); neutral evil; 15; hide armor, shield; 11; 2d8+2; 20ft., swim 40ft.; 12; 12; 13; 7; 10; 7; ; Stealth +3; ; ; ; passive Perception 10; Bullywug; 1/4; 50; ; Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear.<br>Bite. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:3 (1d4 + 1) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. Or range 20/60 ft., one target.<br>Hit:4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.<br>; ; Amphibious.The bullywug can breathe air and water.<br>Speak with Frogs and Toads.The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.<br>Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.<br>Standing Leap. The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Commoner; Medium humanoid (any race); any alignment; 10; ; 4; 1d8; 30 ft.; 10; 10; 10; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 0; 10; ; Club. Melee Weapon Attack:+2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) bludgeoning damage.; ;
Crocodile; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 20 ft., swim 30 ft.; 15; 10; 13; 2; 10; 5; ; Stealth +2; ; ; ; passive Perception 10; ; 1/2; 100; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target.<br>; ; Hold Breath. The crocodile can hold its breath for 15 minutes.
Cultist; Medium humanoid (any race); any non-good alignment; 12; leather armor; 9; 2d8; 30 ft.; 11; 12; 10; 10; 11; 10; ; Deception +2, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one creature. <br>Hit:4 (1d6 + 1) slashing damage.; ; Dark Devotion.The cultist has advantage on saving throws against being charmed or frightened.
Deer; Medium beast; unaligned; 13; ; 4; 1d8; 50 ft.; 11; 16; 11; 2; 14; 5; ; ; ; ; ; passive Perception 12; ; 0; 10; ; Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) piercing damage.; ;
Doppelganger; Medium monstrosity (shapechanger); neutral; 14; ; 52; 8d8+16; 30 ft.; 11; 18; 14; 11; 12; 14; ; Deception +6, Insight +3; ; ; charmed; darkvision 60 ft., passive Perception 11; Common; 3; 700; ; Multiattack. The doppelganger makes two melee attacks.<br>Slam.Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit:7 (1d6 + 4) bludgeoning damage.<br>Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger's concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.<br>; ; Shapechanger.The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.<br>Ambusher. The doppelganger has advantage on attack rolls against any creature it has surprised.<br>Surprise Attack.If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.
Elk; Large beast; unaligned; 10; ; 13; 2d10+2; 50 ft.; 16; 10; 12; 2; 10; 6; ; ; ; ; ; passive Perception 10; ; 1/4; 50; ; Ram. Melee Weapon Attack:+5 to hit, reach 5 ft., one target.<br>Hit: 6 (1d6 + 3) bludgeoning damage.<br>Hooves. Melee Weapon Attack:+5 to hit, reach 5 ft., one prone creature. <br>Hit:8 (2d4 + 3) bludgeoning damage.<br>; ; Charge.If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.
Ettercap; Medium monstrosity; neutral evil; 13; natural armor; 44; 8d8+8; 30 ft., climb 30 ft.; 14; 15; 13; 7; 12; 8; ; Perception +3, Stealth +4, Survival +3; ; ; ; darkvision 60 ft., passive Perception 13; ; 2; 450; ; Multiattack.The ettercap makes two attacks: one with its bite and one with its claws.<br>Bite.Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>Claws.Melee Weapon Attack:+4 to hit, reach 5 ft., one target. <br>Hit:7 (2d4 + 2) slashing damage.<br>Web (Recharge 5–6).Ranged Weapon Attack:+4 to hit, range 30/60 ft., one Large or smaller creature. Hit:The creature is restrained by webbing. As an action, the restrained creature can make a DC 11 Strength check, escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10, 5 hit points, resistance to bludgeoning damage, and immunity to poison and psychic damage.<br>; ; Spider Climb. The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Web Sense.While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.<br>Web Walker.The ettercap ignores movement restrictions caused by webbing.
Gargoyle; Medium elemental; chaotic evil; 15; natural armor; 52; 7d8+12; 30 ft., fly 60 ft.; 15; 11; 16; 6; 11; 7; ; ; bludgeoning, piercing, and slashing from  nonmagical weapons that aren't adamantine; poison; exhaustion, petrified, poisoned; darkvision 60 ft., passive Perception 10; Terran; 2; 450; ; Multiattack. The gargoyle makes two attacks: one with its bite and one with its claws.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) slashing damage.<br>; ; False Appearance. While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.
Giant Centipede; Small beast; unaligned; 13; natural armor; 4; 1d6+1; 30 ft., climb 30 ft.; 5; 14; 12; 1; 7; 3; ; ; ; ; ; blindsight 30 ft., passive Perception 8; ; 1/4; 50; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.<br>; ;
Giant Frog; Medium beast; unaligned; 11; ; 18; 4d8; 30 ft., swim 30 ft.; 12; 13; 11; 2; 10; 3; ; Perception +2, Stealth +3; ; ; ; darkvision 30 ft., passive Perception 12; ; 1/4; 50; ; Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can't bite another target.<br>Swallow. The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog's turns. The frog can have only one target swallowed at a time.If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.<br>; ; Amphibious.The frog can breathe air and water.<br>Standing Leap. The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Giant Lizard; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 30 ft., climb 30 ft.; 15; 12; 13; 2; 10; 5; ; ; ; ; ; darkvision 30 ft., passive Perception 10; ; 1/4; 50; ; Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 6 (1d8 + 2) piercing damage.; ;
Giant Spider; Large beast; unaligned; 14; natural Armor; 26; 4d10+4; 30 ft., climb 30 ft.; 14; 16; 12; 2; 11; 4; ; Stealth +7; ; ; ; blindsight 10 ft., darkvision 60 ft., passive Perception 10; ; 1; 200; ; Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. <br>Hit:7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.<br>Web (Recharge 5–6). Ranged Weapon Attack:+5 to hit, range 30/60 ft., one creature.Hit:The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10, hp 5, vulnerability to fire damage, immunity to bludgeoning, poison, and psychic damage).<br>; ; Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Web Sense.While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.<br>Web Walker.The spider ignores movement restrictions caused by webbing.
Gray ooze; Medium ooze; unaligned; 8; ; 22; 3d8+9; 10 ft., climb 10 ft.; 12; 6; 16; 1; 6; 2; ; Stealth +2; acid, cold, fire; ; blinded, charmed, deafened, exhaustion, frightened, prone; blindsight 60 ft. (blind beyond this radius), passive Perception 8; ; 1/2; 100; ; Pseudopod. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) bludgeoning damage plus 7 (2d6) acid damage, and if the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative −1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.<br>; ; Amorphous. The ooze can move through a space as narrow as 1 inch wide without squeezing.<br>Corrode Metal.Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls.If its penalty drops to −5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage.<br>The ooze can eat through 2-inch-thick, nonmagical metal in 1 round.<br>False Appearance.While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock.
Griffon; Large monstrosity; unaligned; 12; ; 59; 7d10+21; 30 ft., fly 80 ft.; 18; 15; 16; 2; 13; 8; ; Perception +5; ; ; ; darkvision 60 ft., passive Perception 15; ; 2; 450; ; Multiattack. The griffon makes two attacks: one with its beak and one with its claws.<br>Beak. Melee Weapon Attack: +6 to hit, reach 5 ft., one target.<br>Hit:8 (1d8 + 4) piercing damage.<br>Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit:11 (2d6 + 4) slashing damage.<br>; ; Keen Sight.The griffon has advantage on Wisdom (Perception) checks that rely on sight.
Guard Drake; medium Dragon; unaligned; 14; natural armor; 52; 7d8+21; 30 ft.; 16; 11; 16; 4; 10; 7; Perception +2; ; Lightning; ; ; darkvision 60ft., passive Perception 12; understands Draconic but can't speak; 2; 450; ; Multiattack.The drake attacks twice, once with its bite and once with its tail.<br>Bite. Melee Weapon Attack:+5 to hit, reach 5 ft., one target.<br>Hit: 7 ( 1d8 + 3) piercing damage.<br>Tail. Melee Weapon Attack:+5 to hit, reach 5 ft., one target. <br>Hit: 6 (1d6 + 3) bludgeoning damage.; ;
Helmed Horror; Medium construct; neutral; 20; plate, shield; 60; 8d8+24; 30 ft., fly 30ft.; 18; 13; 16; 10; 10; 10; ; Perception +4; bludgeoning, piercing, and slashing from  nonmagical weapons that aren't adamantine; force, necrotic, poison ; blinded, charmed, deafened, frightened,  paralyzed, petrified, poisoned, stunned; blindsight 60 ft. (blind beyond this radius), passive Perception 14; understands the languages of its creator but can't speak; 4; 1,100; ; Multiattack.The helmed horror makes two longsword attacks.<br>Longsword. Melee Weapon Attack:+6 to hit, reach 5 ft., one target.<br>Hit:8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands.<br>; ; Magic Resistance.The helmed horror has advantage on saving throws against spells and other magical effects.<br>Spell Immunity. The helmed horror is immune to three spells chosen by its creator. Typical immunities include fireball, heat metal, and lightning bolt.<br>
Hobgoblin; Medium humanoid (goblinoid); lawful evil; 18; chain mail, shield; 11; 2d8+2; 30 ft.; 13; 12; 12; 10; 10; 9; ; ; ; ; ; darkvision 60 ft., passive Perception 10; Common, Goblin; 1/2; 100; ; Longsword. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands.<br>Longbow. Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. <br>Hit:5 (1d8 + 1) piercing damage.<br>; ; Martial Advantage. Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.
Hobgoblin Captain; Medium humanoid (goblinoid);  lawful evil; 17; half plate; 39; 6d8+12; 30 ft.; 15; 14; 14; 12; 10; 13; ; ; ; ; ; darkvision 60 ft., passive Perception 10; Common, Goblin; 3; 700; ; Multiattack.The hobgoblin makes two greatsword attacks.<br>Greatsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target.<br>Hit:9 (2d6 + 2) piercing damage.<br>Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Leadership (Recharges after a Short or Long Rest).For 1 minute, the hobgoblin can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.<br>; ; Martial Advantage. Once per turn, the hobgoblin can deal an extra 10 (3d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.
Knight; Medium humanoid (any race); any alignment; 18; plate; 52; 8d8+16; 30 ft.; 16; 11; 14; 11; 11; 15; Con +4, Wis +2; ; ; ; ; passive Perception 10; any one language (usually Common); 3; 700; ; Multiattack. The knight makes two melee attacks.<br>Greatsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target.<br>Hit:10 (2d6 + 3) slashing damage.<br>Heavy Crossbow. Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. <br>Hit:5 (1d10) piercing damage.<br>Leadership (Recharges after a Short or Long Rest).For 1 minute, the knight can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the knight. A creature can benefit from only one Leadership die at a time. This effect ends if the knight is incapacitated.<br><br>Reactions<br>Parry. The knight adds 2 to its AC against one melee attack that would hit it. To do so, the knight must see the attacker and be wielding a melee weapon.; ;
Kobold; Small humanoid (kobold);  lawful evil; 12; ; 5; 2d6-2; 30 ft.; 7; 15; 9; 8; 7; 8; ; ; ; ; ; darkvision 60 ft., passive Perception 8; Common, Draconic; 1/8; 25; ; Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:4 (1d4 + 2) piercing damage.<br>Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. <br>Hit:4 (1d4 + 2) bludgeoning damage.<br>; ; Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.<br>Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.
Lizardfolk; Medium humanoid (lizardfolk); neutral; 15; natural armor, shield; 22; 4d8+4; 30 ft., swim 30ft.; 15; 10; 13; 7; 12; 7; ; Perception +3, Stealth +4, Survival +5; ; ; ; passive Perception 13; Draconic; 1/2; 100; ; Multiattack.The lizardfolk makes two melee attacks, each one with a different weapon.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Heavy Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) bludgeoning damage.<br>Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>Spiked Shield. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>; ; Hold Breath. The lizardfolk can hold its breath for 15 minutes.
